transaction_id,store_id,product_id,quantity,unit_price,total_amount,transaction_at
TXN-00050,S002,P005,2,140,302,2025-01-09 10:30:00
TXN-00050,S002,P005,2,140,302,2025-01-09 10:30:00
TXN-00052,S004,P013,3,150,495,2025-01-09 14:20:00
TXN-00053,S005,P002,2,150,324,2025-01-09 16:40:00
TXN-00054,S001,P006,1,300,324,2025-01-09 18:05:00
TXN-00055,S001,P001,1,120,130,2025-01-10 08:15:00
TXN-00056,S002,P005,2,140,302,2025-01-10 10:30:00
TXN-00057,S003,P009,1,200,220,2025-01-10 12:10:00
TXN-00058,S004,P013,3,150,495,2025-01-10 14:20:00
TXN-00059,S005,P002,2,150,324,2025-01-10 16:40:00
TXN-00060,S001,P006,1,300,300,2025-01-10 18:05:00
TXN-00061,S001,P001,1,120,130,2025-01-11 08:15:00
TXN-00062,S002,P005,2,140,302,2025-01-11 10:30:00
TXN-00063,S003,P009,1,200,220,2025-01-11 12:10:00
TXN-00064,S004,P013,3,150,495,2025-01-11 14:20:00
TXN-00065,S005,P002,2,150,324,2025-01-11 16:40:00
TXN-00066,S001,P006,1,300,324,2025-01-11 18:05:00
TXN-00067,S001,P001,1,120,130,2025-01-12 08:15:00
TXN-00068,S002,P005,2,140,302,2025-01-12 10:30:00
TXN-00069,S003,P009,1,200,220,2025-01-12 12:10:00
TXN-00070,S004,P013,3,150,495,2025-01-12 14:20:00
TXN-00071,S005,P002,2,150,324,2025-01-12 16:40:00
TXN-00072,S001,P006,1,300,324,2025-01-12 18:05:00
TXN-00073,S001,P001,1,120,130,2025-01-13 08:15:00
TXN-00074,S002,P005,2,140,302,2025-01-13 10:30:00
TXN-00075,S003,P099,1,500,550,2025-01-13 12:10:00
TXN-00076,S004,P013,3,150,495,2025-01-13 14:20:00
TXN-00077,S005,P002,2,150,324,2025-01-13 16:40:00
TXN-00078,S001,P006,1,300,324,2025-01-13 18:05:00
TXN-00079,S001,P001,1,120,130,2025-01-14 08:15:00
TXN-00080,S002,P005,2,140,302,2025-01-14 10:30:00
TXN-00081,S003,P009,1,200,220,2025-01-14 12:10:00
TXN-00082,S004,P013,3,150,495,2025-01-14 14:20:00
TXN-00083,S005,P002,2,150,324,2025-01-14 16:40:00
TXN-00084,S001,P006,1,300,324,2025-01-14 18:05:00
TXN-00085,S001,P001,1,120,130,2025-01-15 08:15:00
TXN-00086,S002,P005,2,140,302,2025-01-15 10:30:00
TXN-00087,S003,P009,1,200,220,2025-01-15 12:10:00
TXN-00088,S004,P013,3,150,495,2025-01-15 14:20:00
TXN-00089,S005,P002,2,150,324,2025-01-15 16:40:00
TXN-00090,S001,P006,1,300,300,2025-01-15 18:05:00
TXN-00091,S001,P001,1,120,130,2025-01-16 08:15:00
TXN-00092,S002,P005,2,140,302,2025-01-16 10:30:00
TXN-00093,S003,P009,1,200,220,2025-01-16 12:10:00
TXN-00094,S004,P013,3,150,495,2025-01-16 14:20:00
TXN-00095,S005,P002,2,150,324,2025-01-16 16:40:00
TXN-00096,S001,P006,1,300,324,2025-01-16 18:05:00
TXN-00097,S001,P001,1,120,130,2025-01-17 08:15:00
TXN-00098,S002,P005,2,140,302,2025-01-17 10:30:00
TXN-00099,S003,P009,1,200,220,2025-01-17 12:10:00
TXN-00100,S004,P013,3,150,495,2025-01-17 14:20:00
TXN-00101,S005,P002,2,150,324,2025-01-17 16:40:00
TXN-00102,S001,P006,1,300,324,2025-01-17 18:05:00
TXN-00103,S001,P001,1,120,130,2025-01-18 08:15:00
TXN-00104,S002,P005,2,140,302,2025-01-18 10:30:00
TXN-00105,S003,P009,1,200,220,2025-01-18 12:10:00
TXN-00106,S004,P013,3,150,495,2025-01-18 14:20:00
TXN-00107,S005,P002,2,150,324,2025-01-18 16:40:00
TXN-00108,S001,P006,1,300,324,2025-01-18 18:05:00
TXN-00109,S001,P001,1,120,130,2025-01-19 08:15:00
TXN-00110,S002,P005,2,140,280,2025-01-19 10:30:00
TXN-00111,S003,P009,1,200,220,2025-01-19 12:10:00
TXN-00112,S004,P013,3,150,495,2025-01-19 14:20:00
TXN-00113,S005,P002,2,150,324,2025-01-19 16:40:00
TXN-00114,S001,P006,1,300,324,2025-01-19 18:05:00
TXN-00115,S001,P001,1,120,130,2025-01-20 08:15:00
TXN-00116,S002,P005,2,140,302,2025-01-20 10:30:00
TXN-00117,S003,P009,1,200,220,2025-01-20 12:10:00
TXN-00118,S004,P013,3,150,495,2025-01-20 14:20:00
TXN-00119,S005,P002,2,150,324,2025-01-20 16:40:00
TXN-00120,S001,P006,1,300,324,2025-01-20 18:05:00
TXN-00120,S001,P006,2,300,648,2025-01-20 18:35:00
TXN-00122,S002,P005,2,140,302,2025-01-21 10:30:00
TXN-00123,S003,P009,1,200,220,2025-01-21 12:10:00
TXN-00124,S004,P013,3,150,495,2025-01-21 14:20:00
TXN-00125,S005,P002,2,150,324,2025-01-21 16:40:00
TXN-00126,S001,P006,1,300,324,2025-01-21 18:05:00
TXN-00127,S001,P001,1,120,130,2025-01-22 08:15:00
TXN-00128,S002,P005,2,140,302,2025-01-22 10:30:00
TXN-00129,S003,P009,1,200,220,2025-01-22 12:10:00
TXN-00130,S004,P013,3,150,450,2025-01-22 14:20:00
TXN-00131,S005,P002,2,150,324,2025-01-22 16:40:00
TXN-00132,S001,P006,1,300,324,2025-01-22 18:05:00
TXN-00133,S001,P001,1,120,130,2025-01-23 08:15:00
TXN-00134,S002,P005,2,140,302,2025-01-23 10:30:00
TXN-00135,S003,P009,1,200,220,2025-01-23 12:10:00
TXN-00136,S004,P013,3,150,495,2025-01-23 14:20:00
TXN-00137,S005,P002,2,150,324,2025-01-23 16:40:00
TXN-00138,S001,P006,1,300,324,2025-01-23 18:05:00
TXN-00139,S001,P001,1,120,130,2025-01-24 08:15:00
TXN-00140,S002,P005,2,140,280,2025-01-24 10:30:00
TXN-00141,S003,P009,1,200,220,2025-01-24 12:10:00
TXN-00142,S004,P013,3,150,495,2025-01-24 14:20:00
TXN-00143,S005,P002,2,150,324,2025-01-24 16:40:00
TXN-00144,S001,P006,1,300,324,2025-01-24 18:05:00
TXN-00145,S001,P001,1,120,130,2025-01-25 08:15:00
TXN-00146,S002,P005,2,140,302,2025-01-25 10:30:00
TXN-00147,S003,P009,1,200,220,2025-01-25 12:10:00
TXN-00148,S004,P013,3,150,495,2025-01-25 14:20:00
TXN-00149,S005,P002,2,150,324,2025-01-25 16:40:00
TXN-00150,S001,P006,1,300,324,2025-01-25 18:05:00
TXN-00151,,P001,1,120,130,2025-01-26 08:15:00
TXN-00152,S002,P005,2,140,302,2025-01-26 10:30:00
TXN-00153,S003,P009,1,200,220,2025-01-26 12:10:00
TXN-00154,S004,P013,3,150,495,2025-01-26 14:20:00
TXN-00155,S005,P002,2,150,324,2025-01-26 16:40:00
TXN-00156,S001,P006,1,300,324,2025-01-26 18:05:00
TXN-00157,S001,P001,1,120,130,2025-01-27 08:15:00
TXN-00158,S002,P005,2,140,302,2025-01-27 10:30:00
TXN-00159,S003,P009,1,200,220,2025-01-27 12:10:00
TXN-00160,S004,P013,3,150,450,2025-01-27 14:20:00
TXN-00161,S005,P002,2,150,324,2025-01-27 16:40:00
TXN-00162,S001,P006,1,300,324,2025-01-27 18:05:00
TXN-00163,S001,P001,1,120,130,2025-01-28 08:15:00
TXN-00164,S002,P005,2,140,302,2025-01-28 10:30:00
TXN-00165,S003,P009,1,200,220,2025-01-28 12:10:00
TXN-00166,S004,P013,3,150,495,2025-01-28 14:20:00
TXN-00167,S005,P002,2,150,324,2025-01-28 16:40:00
TXN-00168,S001,P006,1,300,324,2025-01-28 18:05:00
TXN-00169,S001,P001,1,120,130,2025-01-29 08:15:00
TXN-00170,S002,P005,2,140,302,2025-01-29 10:30:00
TXN-00171,S003,P009,1,200,220,2025-01-29 12:10:00
TXN-00172,S004,P013,3,150,495,2025-01-29 14:20:00
TXN-00173,S005,P002,2,150,324,2025-01-29 16:40:00
TXN-00174,S001,P006,1,300,324,2025-01-29 18:05:00
TXN-00175,S001,P001,1,120,130,2025-01-30 08:15:00
TXN-00176,S002,P005,2,140,302,2025-01-30 10:30:00
TXN-00177,S003,P009,1,200,220,2025-01-30 12:10:00
TXN-00178,S004,P013,3,150,495,2025-01-30 14:20:00
TXN-00179,S005,P002,2,150,324,2025-01-30 16:40:00
TXN-00180,S001,P006,1,300,300,2025-01-30 18:05:00

TXN-00181,S001,P003,2,130,281,2025-01-31 08:20:00
TXN-00182,S002,P007,1,220,238,2025-01-31 10:10:00
TXN-00183,S003,P010,2,350,770,2025-01-31 12:25:00
TXN-00184,S004,P014,1,250,275,2025-01-31 15:05:00
TXN-00185,S005,P008,3,180,583,2025-01-31 19:10:00
TXN-00186,S001,P003,2,130,281,2025-02-01 08:20:00
TXN-00187,S002,P007,1,220,238,2025-02-01 10:10:00
TXN-00188,S003,P010,2,350,770,2025-02-01 12:25:00
TXN-00189,S004,P014,1,250,275,2025-02-01 15:05:00
TXN-00190,S005,P008,3,180,583,2025-02-01 19:10:00
TXN-00191,S001,P003,2,130,281,2025-02-02 08:20:00
TXN-00192,S002,P007,1,220,238,2025-02-02 10:10:00
TXN-00193,S003,P010,2,350,770,2025-02-02 12:25:00
TXN-00194,S004,P014,1,250,275,2025-02-02 15:05:00
TXN-00195,S005,P008,3,180,583,2025-02-02 19:10:00
TXN-00196,S001,P003,2,130,281,2025-02-03 08:20:00
TXN-00197,S002,P007,1,220,238,2025-02-03 10:10:00
TXN-00198,S003,P010,2,350,700,2025-02-03 12:25:00
TXN-00199,S004,P014,1,250,275,2025-02-03 15:05:00
TXN-00200,S005,P008,3,180,583,2025-02-03 19:10:00
TXN-00201,S001,P003,2,130,281,2025-02-04 08:20:00
TXN-00202,S002,P007,1,220,238,2025-02-04 10:10:00
TXN-00203,S003,P010,2,350,770,2025-02-04 12:25:00
TXN-00204,S004,P014,1,250,275,2025-02-04 15:05:00
TXN-00205,S005,P008,3,180,583,2025-02-04 19:10:00
TXN-00206,S001,P003,2,130,281,2025-02-05 08:20:00
TXN-00207,S002,P007,1,220,238,2025-02-05 10:10:00
TXN-00208,S003,P010,2,350,770,2025-02-05 12:25:00
TXN-00209,S004,P014,1,250,275,2025-02-05 15:05:00
TXN-00210,S005,P099,3,500,1650,2025-02-05 19:10:00
TXN-00211,S001,P003,2,130,281,2025-02-06 08:20:00
TXN-00212,S002,P007,1,220,238,2025-02-06 10:10:00
TXN-00213,S003,P010,2,350,770,2025-02-06 12:25:00
TXN-00214,S004,P014,1,250,275,2025-02-06 15:05:00
TXN-00215,S005,P008,3,180,583,2025-02-06 19:10:00
TXN-00216,S001,P003,2,130,281,2025-02-07 08:20:00
TXN-00217,S002,P007,1,220,220,2025-02-07 10:10:00
TXN-00218,S003,P010,2,350,770,2025-02-07 12:25:00
TXN-00219,S004,P014,1,250,275,2025-02-07 15:05:00
TXN-00220,S005,P008,3,180,583,2025-02-07 19:10:00
TXN-00221,S001,P003,2,130,281,2025-02-08 08:20:00
TXN-00222,S002,P007,1,220,238,2025-02-08 10:10:00
TXN-00223,S003,P010,2,350,770,2025-02-08 12:25:00
TXN-00224,S004,P014,1,250,275,2025-02-08 15:05:00
TXN-00225,S005,P008,3,180,583,2025-02-08 19:10:00
TXN-00226,S001,P003,2,130,281,2025-02-09 08:20:00
TXN-00227,S002,P007,1,220,238,2025-02-09 10:10:00
TXN-00228,S003,P010,2,350,770,2025-02-09 12:25:00
TXN-00229,S004,P014,1,250,275,2025-02-09 15:05:00
TXN-00230,S005,P008,3,180,583,2025-02-09 19:10:00
TXN-00231,S001,P003,2,130,281,2025-02-10 08:20:00
TXN-00232,S002,P007,1,220,238,2025-02-10 10:10:00
TXN-00233,S003,P010,2,350,770,2025-02-10 12:25:00
TXN-00234,S004,P014,1,250,250,2025-02-10 15:05:00
TXN-00235,S005,P008,3,180,583,2025-02-10 19:10:00
TXN-00236,S001,P003,2,130,281,2025-02-11 08:20:00
TXN-00237,S002,P007,1,220,238,2025-02-11 10:10:00
TXN-00238,S003,P010,2,350,770,2025-02-11 12:25:00
TXN-00239,S004,P014,1,250,275,2025-02-11 15:05:00
TXN-00240,,P008,3,180,583,2025-02-11 19:10:00
TXN-00241,S001,P003,2,130,281,2025-02-12 08:20:00
TXN-00242,S002,P007,1,220,238,2025-02-12 10:10:00
TXN-00243,S003,P010,2,350,770,2025-02-12 12:25:00
TXN-00244,S004,P014,1,250,275,2025-02-12 15:05:00
TXN-00245,S005,P008,3,180,583,2025-02-12 19:10:00
TXN-00246,S001,P003,2,130,260,2025-02-13 08:20:00
TXN-00247,S002,P007,1,220,238,2025-02-13 10:10:00
TXN-00248,S003,P010,2,350,770,2025-02-13 12:25:00
TXN-00249,S004,P014,1,250,275,2025-02-13 15:05:00
TXN-00250,S005,P008,3,180,583,2025-02-13 19:10:00
TXN-00251,S001,P003,2,130,281,2025-02-14 08:20:00
TXN-00252,S002,P007,1,220,238,2025-02-14 10:10:00
TXN-00253,S003,P010,2,350,770,2025-02-14 12:25:00
TXN-00254,S004,P014,1,250,275,2025-02-14 15:05:00
TXN-00255,S005,P008,3,180,583,2025-02-14 19:10:00
TXN-00256,S001,P003,2,130,281,2025-02-15 08:20:00
TXN-00257,S002,P007,1,220,238,2025-02-15 10:10:00
TXN-00258,S003,P010,2,350,770,2025-02-15 12:25:00
TXN-00259,S004,P014,1,250,275,2025-02-15 15:05:00
TXN-00260,S005,P008,3,180,540,2025-02-15 19:10:00
TXN-00261,S001,P003,2,130,281,2025-02-16 08:20:00
TXN-00262,S002,P007,1,220,238,2025-02-16 10:10:00
TXN-00263,S003,P010,2,350,770,2025-02-16 12:25:00
TXN-00264,S004,P014,1,250,275,2025-02-16 15:05:00
TXN-00265,S005,P008,3,180,583,2025-02-16 19:10:00
TXN-00266,S001,P003,2,130,281,2025-02-17 08:20:00
TXN-00267,S002,P007,1,220,238,2025-02-17 10:10:00
TXN-00268,S003,P010,2,350,770,2025-02-17 12:25:00
TXN-00269,S004,P014,1,250,275,2025-02-17 15:05:00
TXN-00270,S005,P008,3,180,583,2025-02-17 19:10:00
TXN-00271,S001,P003,2,130,281,2025-02-18 08:20:00
TXN-00272,S002,P007,1,220,238,2025-02-18 10:10:00
TXN-00273,S003,P010,2,350,700,2025-02-18 12:25:00
TXN-00274,S004,P014,1,250,275,2025-02-18 15:05:00
TXN-00275,S005,P008,3,180,583,2025-02-18 19:10:00
TXN-00276,S001,P003,2,130,281,2025-02-19 08:20:00
TXN-00277,S002,P007,1,220,238,2025-02-19 10:10:00
TXN-00278,S003,P010,2,350,770,2025-02-19 12:25:00
TXN-00279,S004,P014,1,250,275,2025-02-19 15:05:00
TXN-00280,S005,P008,3,180,583,2025-02-19 19:10:00
TXN-00281,S001,P003,2,130,281,2025-02-20 08:20:00
TXN-00282,S002,P007,1,220,238,2025-02-20 10:10:00
TXN-00283,S003,P010,2,350,770,2025-02-20 12:25:00
TXN-00284,S004,P014,1,250,275,2025-02-20 15:05:00
TXN-00285,S005,P008,3,180,583,2025-02-20 19:10:00
TXN-00286,S001,P003,2,130,281,2025-02-21 08:20:00
TXN-00287,S002,P007,1,220,220,2025-02-21 10:10:00
TXN-00288,S003,P010,2,350,770,2025-02-21 12:25:00
TXN-00289,S004,P014,1,250,275,2025-02-21 15:05:00
TXN-00290,S005,P008,3,180,583,2025-02-21 19:10:00
TXN-00291,S001,P003,2,130,281,2025-02-22 08:20:00
TXN-00292,S002,P007,1,220,238,2025-02-22 10:10:00
TXN-00293,S003,P010,2,350,770,2025-02-22 12:25:00
TXN-00294,S004,P014,1,250,275,2025-02-22 15:05:00
TXN-00295,S005,P008,3,180,583,2025-02-22 19:10:00
TXN-00296,S001,P003,2,130,281,2025-02-23 08:20:00
TXN-00297,S002,P007,1,220,238,2025-02-23 10:10:00
TXN-00298,S003,P010,2,350,770,2025-02-23 12:25:00
TXN-00299,S004,P014,1,250,275,2025-02-23 15:05:00
TXN-00300,S005,P008,3,180,583,2025-02-23 19:10:00
TXN-00301,S001,P003,2,130,281,2025-02-24 08:20:00
TXN-00302,S002,P007,1,220,238,2025-02-24 10:10:00
TXN-00303,S003,P010,2,350,770,2025-02-24 12:25:00
TXN-00304,S004,P014,1,250,250,2025-02-24 15:05:00
TXN-00305,S005,P008,3,180,583,2025-02-24 19:10:00
TXN-00306,S001,P003,2,130,281,2025-02-25 08:20:00
TXN-00307,S002,P007,1,220,238,2025-02-25 10:10:00
TXN-00308,S003,P010,2,350,770,2025-02-25 12:25:00
TXN-00309,S004,P014,1,250,275,2025-02-25 15:05:00
TXN-00310,S005,P008,3,180,583,2025-02-25 19:10:00
TXN-00311,S001,P003,2,130,281,2025-02-26 08:20:00
TXN-00312,S002,P007,1,220,238,2025-02-26 10:10:00
TXN-00313,S003,P010,2,350,770,2025-02-26 12:25:00
TXN-00314,S004,P014,1,250,275,2025-02-26 15:05:00
TXN-00315,S005,P008,3,180,540,2025-02-26 19:10:00
TXN-00316,S001,P003,2,130,260,2025-02-27 08:20:00
TXN-00317,S002,P007,1,220,238,2025-02-27 10:10:00
TXN-00318,S003,P010,2,350,770,2025-02-27 12:25:00
TXN-00319,S004,P014,1,250,275,2025-02-27 15:05:00
TXN-00320,S005,P099,2,500,1100,2025-02-27 19:10:00
TXN-00321,S001,P003,2,130,281,2025-02-28 08:20:00
TXN-00322,S002,P007,1,220,238,2025-02-28 10:10:00
TXN-00323,S003,P010,2,350,770,2025-02-28 12:25:00
TXN-00324,S004,P014,1,250,275,2025-02-28 15:05:00
TXN-00325,S005,P008,3,180,583,2025-02-28 19:10:00
TXN-00326,S001,P003,2,130,281,2025-03-01 08:20:00
TXN-00327,S002,P007,1,220,238,2025-03-01 10:10:00
TXN-00328,S003,P010,2,350,770,2025-03-01 12:25:00
TXN-00329,S004,P014,1,250,275,2025-03-01 15:05:00
TXN-00330,S005,P008,3,180,583,2025-03-01 19:10:00
TXN-00331,S001,P003,2,130,281,2025-03-02 08:20:00
TXN-00332,S002,P007,1,220,238,2025-03-02 10:10:00
TXN-00333,S003,P010,2,350,700,2025-03-02 12:25:00
TXN-00334,S004,P014,1,250,275,2025-03-02 15:05:00
TXN-00335,S005,P008,3,180,583,2025-03-02 19:10:00
TXN-00336,S001,P003,2,130,281,2025-03-03 08:20:00
TXN-00337,S002,P007,1,220,238,2025-03-03 10:10:00
TXN-00338,S003,P010,2,350,770,2025-03-03 12:25:00
TXN-00339,S004,P014,1,250,275,2025-03-03 15:05:00
TXN-00340,S005,P008,3,180,583,2025-03-03 19:10:00
TXN-00341,S001,P003,2,130,281,2025-03-04 08:20:00
TXN-00342,S002,P007,1,220,220,2025-03-04 10:10:00
TXN-00343,S003,P010,2,350,770,2025-03-04 12:25:00
TXN-00344,S004,P014,1,250,275,2025-03-04 15:05:00
TXN-00345,S005,P008,3,180,583,2025-03-04 19:10:00
TXN-00346,S001,P003,2,130,281,2025-03-05 08:20:00
TXN-00347,S002,P007,1,220,238,2025-03-05 10:10:00
TXN-00348,S003,P010,2,350,770,2025-03-05 12:25:00
TXN-00349,S004,P014,1,250,250,2025-03-05 15:05:00
TXN-00350,S005,P008,3,180,583,2025-03-05 19:10:00
TXN-00351,S001,P003,2,130,281,2025-03-06 08:20:00
TXN-00352,S002,P007,1,220,238,2025-03-06 10:10:00
TXN-00353,S003,P010,2,350,770,2025-03-06 12:25:00
TXN-00354,S004,P014,1,250,275,2025-03-06 15:05:00
TXN-00355,S005,P008,3,180,583,2025-03-06 19:10:00
TXN-00356,S001,P003,2,130,260,2025-03-07 08:20:00
TXN-00357,S002,P007,1,220,238,2025-03-07 10:10:00
TXN-00358,S003,P010,2,350,770,2025-03-07 12:25:00
TXN-00359,S004,P014,1,250,275,2025-03-07 15:05:00
TXN-00360,S005,P008,3,180,583,2025-03-07 19:10:00
TXN-00361,S001,P003,2,130,281,2025-03-08 08:20:00
TXN-00362,S002,P007,1,220,238,2025-03-08 10:10:00
TXN-00363,S003,P010,2,350,770,2025-03-08 12:25:00
TXN-00364,S004,P014,1,250,275,2025-03-08 15:05:00
TXN-00365,S005,P008,3,180,583,2025-03-08 19:10:00
TXN-00366,S001,P003,2,130,281,2025-03-09 08:20:00
TXN-00367,S002,P007,1,220,238,2025-03-09 10:10:00
TXN-00368,S003,P010,2,350,770,2025-03-09 12:25:00
TXN-00369,S004,P014,1,250,275,2025-03-09 15:05:00
TXN-00370,S005,P008,3,180,540,2025-03-09 19:10:00
TXN-00371,S001,P003,2,130,281,2025-03-10 08:20:00
TXN-00372,S002,P007,1,220,238,2025-03-10 10:10:00
TXN-00373,S003,P010,2,350,700,2025-03-10 12:25:00
TXN-00374,S004,P014,1,250,275,2025-03-10 15:05:00
TXN-00375,S005,P008,3,180,583,2025-03-10 19:10:00
TXN-00376,S001,P003,2,130,281,2025-03-11 08:20:00
TXN-00377,S002,P007,1,220,238,2025-03-11 10:10:00
TXN-00378,S003,P010,2,350,770,2025-03-11 12:25:00
TXN-00379,S004,P014,1,250,275,2025-03-11 15:05:00
TXN-00380,S005,P008,3,180,583,2025-03-11 19:10:00
TXN-00381,S001,P003,2,130,281,2025-03-12 08:20:00
TXN-00382,S002,P007,1,220,220,2025-03-12 10:10:00
TXN-00383,S003,P010,2,350,770,2025-03-12 12:25:00
TXN-00384,S004,P014,1,250,275,2025-03-12 15:05:00
TXN-00385,S005,P008,3,180,583,2025-03-12 19:10:00
TXN-00386,S001,P003,2,130,281,2025-03-13 08:20:00
TXN-00387,S002,P007,1,220,238,2025-03-13 10:10:00
TXN-00388,S003,P010,2,350,770,2025-03-13 12:25:00
TXN-00389,S004,P014,1,250,275,2025-03-13 15:05:00
TXN-00390,S005,P008,3,180,583,2025-03-13 19:10:00
TXN-00391,S001,P003,2,130,281,2025-03-14 08:20:00
TXN-00392,S002,P007,1,220,238,2025-03-14 10:10:00
TXN-00393,S003,P010,2,350,770,2025-03-14 12:25:00
TXN-00394,S004,P014,1,250,250,2025-03-14 15:05:00
TXN-00395,S005,P008,3,180,583,2025-03-14 19:10:00
TXN-00396,S001,P003,2,130,281,2025-03-15 08:20:00
TXN-00397,S002,P007,1,220,238,2025-03-15 10:10:00
TXN-00398,S003,P010,2,350,770,2025-03-15 12:25:00
TXN-00399,S004,P014,1,250,275,2025-03-15 15:05:00
TXN-00400,S005,P008,3,180,583,2025-03-15 19:10:00
TXN-00401,S001,P003,2,130,260,2025-03-16 08:20:00
TXN-00402,S002,P007,1,220,238,2025-03-16 10:10:00
TXN-00403,S003,P010,2,350,770,2025-03-16 12:25:00
TXN-00404,S004,P014,1,250,275,2025-03-16 15:05:00
TXN-00405,S005,P008,3,180,540,2025-03-16 19:10:00
TXN-00406,S001,P003,2,130,281,2025-03-17 08:20:00
TXN-00407,S002,P007,1,220,238,2025-03-17 10:10:00
TXN-00408,S003,P010,2,350,770,2025-03-17 12:25:00
TXN-00409,S004,P014,1,250,275,2025-03-17 15:05:00
TXN-00410,S005,P008,3,180,583,2025-03-17 19:10:00
TXN-00411,S001,P003,2,130,281,2025-03-18 08:20:00
TXN-00412,S002,P007,1,220,238,2025-03-18 10:10:00
TXN-00413,S003,P010,2,350,700,2025-03-18 12:25:00
TXN-00414,S004,P014,1,250,275,2025-03-18 15:05:00
TXN-00415,S005,P008,3,180,583,2025-03-18 19:10:00
TXN-00416,S001,P003,2,130,281,2025-03-19 08:20:00
TXN-00417,S002,P007,1,220,238,2025-03-19 10:10:00
TXN-00418,S003,P010,2,350,770,2025-03-19 12:25:00
TXN-00419,S004,P014,1,250,275,2025-03-19 15:05:00
TXN-00420,S005,P008,3,180,583,2025-03-19 19:10:00
TXN-00421,S001,P003,2,130,281,2025-03-20 08:20:00
TXN-00422,S002,P007,1,220,220,2025-03-20 10:10:00
TXN-00423,S003,P010,2,350,770,2025-03-20 12:25:00
TXN-00424,S004,P014,1,250,275,2025-03-20 15:05:00
TXN-00425,S005,P008,3,180,583,2025-03-20 19:10:00
TXN-00426,S001,P003,2,130,281,2025-03-21 08:20:00
TXN-00427,S002,P007,1,220,238,2025-03-21 10:10:00
TXN-00428,S003,P010,2,350,770,2025-03-21 12:25:00
TXN-00429,S004,P014,1,250,275,2025-03-21 15:05:00
TXN-00430,S005,P008,3,180,583,2025-03-21 19:10:00
TXN-00431,S001,P003,2,130,281,2025-03-22 08:20:00
TXN-00432,S002,P007,1,220,238,2025-03-22 10:10:00
TXN-00433,S003,P010,2,350,770,2025-03-22 12:25:00
TXN-00434,S004,P014,1,250,250,2025-03-22 15:05:00
TXN-00435,S005,P008,3,180,583,2025-03-22 19:10:00
